part_number,rev,description,category,make_buy,uom,unit_mass_kg,mass_basis,maturity,design_level,lifecycle,spec_ref,requirement,notes
GEM-20405,A,"Absolute encoder, output side, knee",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3 proprioception,,
GEM-20406,A,"Joint torque sensor, knee",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3; spec 06.6,,
GEM-20407,A,"Joint drive PCBA, knee",PCBA,MAKE,EA,,,TM,L1,CONCEPT,plan E-3,,PCBA BOM is generated from its schematic (plan E-3); none exists yet
GEM-20408,A,"Housing, 7075-T6, knee",MFG,MAKE,EA,,,TM,L0,CONCEPT,hardware/mechanical 1,,
GEM-20409,A,"Fastener set, knee",OTS,BUY,SET,,,TM,L0,CONCEPT,plan M-3,,
GEM-20500,A,"Joint module, ankle pitch",ASSY,MAKE,EA,2.052,estimate: 182 Nm peak / 88.7 Nm/kg,TM,L2,CONCEPT,spec 02.6; hardware/kinematics.md 1,182 Nm peak; >=75 Nm/kg over module mass,D-2 open: procure as one module or build from the children below. No module found at this torque and density.
GEM-20501,A,"Motor, frameless BLDC, ankle pitch",OTS,BUY,EA,,,TM,L0,CONCEPT,hardware/electrical 2,,
GEM-20502,A,"Reducer, ankle pitch",OTS,BUY,EA,,,TM,L1,CONCEPT,hardware/mechanical 2,,no class assigned in hardware/mechanical 2; conflicts with the planetary module family of hardware/electrical 2
GEM-20503,A,"Output bearing, ankle pitch",OTS,BUY,EA,,,TM,L0,CONCEPT,hardware/mechanical 5,,
GEM-20504,A,"Absolute encoder, motor side, ankle pitch",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3 proprioception,,
GEM-20505,A,"Absolute encoder, output side, ankle pitch",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3 proprioception,,
GEM-20506,A,"Joint torque sensor, ankle pitch",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3; spec 06.6,,
GEM-20507,A,"Joint drive PCBA, ankle pitch",PCBA,MAKE,EA,,,TM,L1,CONCEPT,plan E-3,,PCBA BOM is generated from its schematic (plan E-3); none exists yet
GEM-20508,A,"Housing, 7075-T6, ankle pitch",MFG,MAKE,EA,,,TM,L0,CONCEPT,hardware/mechanical 1,,
GEM-20509,A,"Fastener set, ankle pitch",OTS,BUY,SET,,,TM,L0,CONCEPT,plan M-3,,
GEM-20600,A,"Joint module, ankle roll",ASSY,MAKE,EA,0.791,estimate: 70 Nm peak / 88.7 Nm/kg,TM,L2,CONCEPT,spec 02.6; hardware/kinematics.md 1,70 Nm peak; >=75 Nm/kg over module mass,D-2 open: procure as one module or build from the children below.
GEM-20601,A,"Motor, frameless BLDC, ankle roll",OTS,BUY,EA,,,TM,L0,CONCEPT,hardware/electrical 2,,
GEM-20602,A,"Reducer, ankle roll",OTS,BUY,EA,,,TM,L1,CONCEPT,hardware/mechanical 2,,no class assigned in hardware/mechanical 2; conflicts with the planetary module family of hardware/electrical 2
GEM-20603,A,"Output bearing, ankle roll",OTS,BUY,EA,,,TM,L0,CONCEPT,hardware/mechanical 5,,
GEM-20604,A,"Absolute encoder, motor side, ankle roll",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3 proprioception,,
GEM-20605,A,"Absolute encoder, output side, ankle roll",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3 proprioception,,
GEM-20606,A,"Joint torque sensor, ankle roll",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3; spec 06.6,,
GEM-20607,A,"Joint drive PCBA, ankle roll",PCBA,MAKE,EA,,,TM,L1,CONCEPT,plan E-3,,PCBA BOM is generated from its schematic (plan E-3); none exists yet
GEM-20608,A,"Housing, 7075-T6, ankle roll",MFG,MAKE,EA,,,TM,L0,CONCEPT,hardware/mechanical 1,,
GEM-20609,A,"Fastener set, ankle roll",OTS,BUY,SET,,,TM,L0,CONCEPT,plan M-3,,
GEM-20700,A,"Joint module, waist pitch",ASSY,MAKE,EA,2.257,estimate: 200 Nm peak / 88.7 Nm/kg,TM,L2,CONCEPT,spec 02.6; hardware/kinematics.md 1,200 Nm peak; >=75 Nm/kg over module mass,D-2 open: procure as one module or build from the children below. No module found at this torque and density.
GEM-20701,A,"Motor, frameless BLDC, waist pitch",OTS,BUY,EA,,,TM,L0,CONCEPT,hardware/electrical 2,,
GEM-20702,A,"Reducer, waist pitch",OTS,BUY,EA,,,TM,L1,CONCEPT,hardware/mechanical 2,,no class assigned in hardware/mechanical 2; conflicts with the planetary module family of hardware/electrical 2
GEM-20703,A,"Output bearing, waist pitch",OTS,BUY,EA,,,TM,L0,CONCEPT,hardware/mechanical 5,,
GEM-20704,A,"Absolute encoder, motor side, waist pitch",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3 proprioception,,
GEM-20705,A,"Absolute encoder, output side, waist pitch",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3 proprioception,,
GEM-20706,A,"Joint torque sensor, waist pitch",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3; spec 06.6,,
GEM-20707,A,"Joint drive PCBA, waist pitch",PCBA,MAKE,EA,,,TM,L1,CONCEPT,plan E-3,,PCBA BOM is generated from its schematic (plan E-3); none exists yet
GEM-20708,A,"Housing, 7075-T6, waist pitch",MFG,MAKE,EA,,,TM,L0,CONCEPT,hardware/mechanical 1,,
GEM-20709,A,"Fastener set, waist pitch",OTS,BUY,SET,,,TM,L0,CONCEPT,plan M-3,,
GEM-20800,A,"Joint module, waist yaw",ASSY,MAKE,EA,1.129,estimate: 100 Nm peak / 88.7 Nm/kg,TM,L2,CONCEPT,spec 02.6; hardware/kinematics.md 1,100 Nm peak; >=75 Nm/kg over module mass,D-2 open: procure as one module or build from the children below. No module found at this torque and density.
GEM-20801,A,"Motor, frameless BLDC, waist yaw",OTS,BUY,EA,,,TM,L0,CONCEPT,hardware/electrical 2,,
GEM-20802,A,"Reducer, waist yaw",OTS,BUY,EA,,,TM,L1,CONCEPT,hardware/mechanical 2,,no class assigned in hardware/mechanical 2; conflicts with the planetary module family of hardware/electrical 2
GEM-20803,A,"Output bearing, waist yaw",OTS,BUY,EA,,,TM,L0,CONCEPT,hardware/mechanical 5,,
GEM-20804,A,"Absolute encoder, motor side, waist yaw",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3 proprioception,,
GEM-20805,A,"Absolute encoder, output side, waist yaw",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3 proprioception,,
GEM-20806,A,"Joint torque sensor, waist yaw",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3; spec 06.6,,
GEM-20807,A,"Joint drive PCBA, waist yaw",PCBA,MAKE,EA,,,TM,L1,CONCEPT,plan E-3,,PCBA BOM is generated from its schematic (plan E-3); none exists yet
GEM-20808,A,"Housing, 7075-T6, waist yaw",MFG,MAKE,EA,,,TM,L0,CONCEPT,hardware/mechanical 1,,
GEM-20809,A,"Fastener set, waist yaw",OTS,BUY,SET,,,TM,L0,CONCEPT,plan M-3,,
GEM-20900,A,"Joint module, shoulder pitch",ASSY,MAKE,EA,2.323,estimate: 206 Nm peak / 88.7 Nm/kg,TM,L2,CONCEPT,spec 02.6; hardware/kinematics.md 1,206 Nm peak; >=75 Nm/kg over module mass,D-2 open: procure as one module or build from the children below. No module found at this torque and density.
GEM-20901,A,"Motor, frameless BLDC, shoulder pitch",OTS,BUY,EA,,,TM,L0,CONCEPT,hardware/electrical 2,,
GEM-20902,A,"Reducer, planetary, shoulder pitch",OTS,BUY,EA,,,TM,L1,CONCEPT,hardware/mechanical 2,,class per hardware/mechanical 2
GEM-20903,A,"Output bearing, shoulder pitch",OTS,BUY,EA,,,TM,L0,CONCEPT,hardware/mechanical 5,,
GEM-20904,A,"Absolute encoder, motor side, shoulder pitch",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3 proprioception,,
GEM-20905,A,"Absolute encoder, output side, shoulder pitch",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3 proprioception,,
GEM-20906,A,"Joint torque sensor, shoulder pitch",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3; spec 06.6,,
GEM-20907,A,"Joint drive PCBA, shoulder pitch",PCBA,MAKE,EA,,,TM,L1,CONCEPT,plan E-3,,PCBA BOM is generated from its schematic (plan E-3); none exists yet
GEM-20908,A,"Housing, 7075-T6, shoulder pitch",MFG,MAKE,EA,,,TM,L0,CONCEPT,hardware/mechanical 1,,
GEM-20909,A,"Fastener set, shoulder pitch",OTS,BUY,SET,,,TM,L0,CONCEPT,plan M-3,,
GEM-21000,A,"Joint module, shoulder roll",ASSY,MAKE,EA,1.703,estimate: 151 Nm peak / 88.7 Nm/kg,TM,L2,CONCEPT,spec 02.6; hardware/kinematics.md 1,151 Nm peak; >=75 Nm/kg over module mass,D-2 open: procure as one module or build from the children below. No module found at this torque and density.
GEM-21001,A,"Motor, frameless BLDC, shoulder roll",OTS,BUY,EA,,,TM,L0,CONCEPT,hardware/electrical 2,,
GEM-21002,A,"Reducer, planetary, shoulder roll",OTS,BUY,EA,,,TM,L1,CONCEPT,hardware/mechanical 2,,class per hardware/mechanical 2
GEM-21003,A,"Output bearing, shoulder roll",OTS,BUY,EA,,,TM,L0,CONCEPT,hardware/mechanical 5,,
GEM-21004,A,"Absolute encoder, motor side, shoulder roll",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3 proprioception,,
GEM-21005,A,"Absolute encoder, output side, shoulder roll",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3 proprioception,,
GEM-21006,A,"Joint torque sensor, shoulder roll",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3; spec 06.6,,
GEM-21007,A,"Joint drive PCBA, shoulder roll",PCBA,MAKE,EA,,,TM,L1,CONCEPT,plan E-3,,PCBA BOM is generated from its schematic (plan E-3); none exists yet
GEM-21008,A,"Housing, 7075-T6, shoulder roll",MFG,MAKE,EA,,,TM,L0,CONCEPT,hardware/mechanical 1,,
GEM-21009,A,"Fastener set, shoulder roll",OTS,BUY,SET,,,TM,L0,CONCEPT,plan M-3,,
GEM-21100,A,"Joint module, shoulder yaw",ASSY,MAKE,EA,0.676,estimate: 60 Nm peak / 88.7 Nm/kg,TM,L2,CONCEPT,spec 02.6; hardware/kinematics.md 1,60 Nm peak; >=75 Nm/kg over module mass,D-2 open: procure as one module or build from the children below.
GEM-21101,A,"Motor, frameless BLDC, shoulder yaw",OTS,BUY,EA,,,TM,L0,CONCEPT,hardware/electrical 2,,
GEM-21102,A,"Reducer, planetary, shoulder yaw",OTS,BUY,EA,,,TM,L1,CONCEPT,hardware/mechanical 2,,class per hardware/mechanical 2
GEM-21103,A,"Output bearing, shoulder yaw",OTS,BUY,EA,,,TM,L0,CONCEPT,hardware/mechanical 5,,
GEM-21104,A,"Absolute encoder, motor side, shoulder yaw",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3 proprioception,,
GEM-21105,A,"Absolute encoder, output side, shoulder yaw",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3 proprioception,,
GEM-21106,A,"Joint torque sensor, shoulder yaw",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3; spec 06.6,,
GEM-21107,A,"Joint drive PCBA, shoulder yaw",PCBA,MAKE,EA,,,TM,L1,CONCEPT,plan E-3,,PCBA BOM is generated from its schematic (plan E-3); none exists yet
GEM-21108,A,"Housing, 7075-T6, shoulder yaw",MFG,MAKE,EA,,,TM,L0,CONCEPT,hardware/mechanical 1,,
GEM-21109,A,"Fastener set, shoulder yaw",OTS,BUY,SET,,,TM,L0,CONCEPT,plan M-3,,
GEM-21200,A,"Joint module, elbow",ASSY,MAKE,EA,1.261,estimate: 112 Nm peak / 88.7 Nm/kg,TM,L2,CONCEPT,spec 02.6; hardware/kinematics.md 1,112 Nm peak; >=75 Nm/kg over module mass,D-2 open: procure as one module or build from the children below. No module found at this torque and density.
GEM-21201,A,"Motor, frameless BLDC, elbow",OTS,BUY,EA,,,TM,L0,CONCEPT,hardware/electrical 2,,
GEM-21202,A,"Reducer, planetary, elbow",OTS,BUY,EA,,,TM,L1,CONCEPT,hardware/mechanical 2,,class per hardware/mechanical 2
GEM-21203,A,"Output bearing, elbow",OTS,BUY,EA,,,TM,L0,CONCEPT,hardware/mechanical 5,,
GEM-21204,A,"Absolute encoder, motor side, elbow",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3 proprioception,,
GEM-21205,A,"Absolute encoder, output side, elbow",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3 proprioception,,
GEM-21206,A,"Joint torque sensor, elbow",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3; spec 06.6,,
GEM-21207,A,"Joint drive PCBA, elbow",PCBA,MAKE,EA,,,TM,L1,CONCEPT,plan E-3,,PCBA BOM is generated from its schematic (plan E-3); none exists yet
GEM-21208,A,"Housing, 7075-T6, elbow",MFG,MAKE,EA,,,TM,L0,CONCEPT,hardware/mechanical 1,,
GEM-21209,A,"Fastener set, elbow",OTS,BUY,SET,,,TM,L0,CONCEPT,plan M-3,,
GEM-21300,A,"Joint module, wrist yaw",ASSY,MAKE,EA,0.225,estimate: 20 Nm peak / 88.7 Nm/kg,TM,L2,CONCEPT,spec 02.6; hardware/kinematics.md 1,20 Nm peak; >=75 Nm/kg over module mass,D-2 open: procure as one module or build from the children below.
GEM-21301,A,"Motor, frameless BLDC, wrist yaw",OTS,BUY,EA,,,TM,L0,CONCEPT,hardware/electrical 2,,
GEM-21302,A,"Reducer, harmonic, wrist yaw",OTS,BUY,EA,,,TM,L1,CONCEPT,hardware/mechanical 2,,class per hardware/mechanical 2; conflicts with the planetary module family of hardware/electrical 2
GEM-21303,A,"Output bearing, wrist yaw",OTS,BUY,EA,,,TM,L0,CONCEPT,hardware/mechanical 5,,
GEM-21304,A,"Absolute encoder, motor side, wrist yaw",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3 proprioception,,
GEM-21305,A,"Absolute encoder, output side, wrist yaw",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3 proprioception,,
GEM-21306,A,"Joint torque sensor, wrist yaw",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3; spec 06.6,,
GEM-21307,A,"Joint drive PCBA, wrist yaw",PCBA,MAKE,EA,,,TM,L1,CONCEPT,plan E-3,,PCBA BOM is generated from its schematic (plan E-3); none exists yet
GEM-21308,A,"Housing, 7075-T6, wrist yaw",MFG,MAKE,EA,,,TM,L0,CONCEPT,hardware/mechanical 1,,
GEM-21309,A,"Fastener set, wrist yaw",OTS,BUY,SET,,,TM,L0,CONCEPT,plan M-3,,
GEM-21400,A,"Joint module, wrist pitch",ASSY,MAKE,EA,0.225,estimate: 20 Nm peak / 88.7 Nm/kg,TM,L2,CONCEPT,spec 02.6; hardware/kinematics.md 1,20 Nm peak; >=75 Nm/kg over module mass,D-2 open: procure as one module or build from the children below.
GEM-21401,A,"Motor, frameless BLDC, wrist pitch",OTS,BUY,EA,,,TM,L0,CONCEPT,hardware/electrical 2,,
GEM-21402,A,"Reducer, harmonic, wrist pitch",OTS,BUY,EA,,,TM,L1,CONCEPT,hardware/mechanical 2,,class per hardware/mechanical 2; conflicts with the planetary module family of hardware/electrical 2
GEM-21403,A,"Output bearing, wrist pitch",OTS,BUY,EA,,,TM,L0,CONCEPT,hardware/mechanical 5,,
GEM-21404,A,"Absolute encoder, motor side, wrist pitch",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3 proprioception,,
GEM-21405,A,"Absolute encoder, output side, wrist pitch",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3 proprioception,,
GEM-21406,A,"Joint torque sensor, wrist pitch",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3; spec 06.6,,
GEM-21407,A,"Joint drive PCBA, wrist pitch",PCBA,MAKE,EA,,,TM,L1,CONCEPT,plan E-3,,PCBA BOM is generated from its schematic (plan E-3); none exists yet
GEM-21408,A,"Housing, 7075-T6, wrist pitch",MFG,MAKE,EA,,,TM,L0,CONCEPT,hardware/mechanical 1,,
GEM-21409,A,"Fastener set, wrist pitch",OTS,BUY,SET,,,TM,L0,CONCEPT,plan M-3,,
GEM-21500,A,"Joint module, wrist roll",ASSY,MAKE,EA,0.225,estimate: 20 Nm peak / 88.7 Nm/kg,TM,L2,CONCEPT,spec 02.6; hardware/kinematics.md 1,20 Nm peak; >=75 Nm/kg over module mass,D-2 open: procure as one module or build from the children below.
GEM-21501,A,"Motor, frameless BLDC, wrist roll",OTS,BUY,EA,,,TM,L0,CONCEPT,hardware/electrical 2,,
GEM-21502,A,"Reducer, harmonic, wrist roll",OTS,BUY,EA,,,TM,L1,CONCEPT,hardware/mechanical 2,,class per hardware/mechanical 2; conflicts with the planetary module family of hardware/electrical 2
GEM-21503,A,"Output bearing, wrist roll",OTS,BUY,EA,,,TM,L0,CONCEPT,hardware/mechanical 5,,
GEM-21504,A,"Absolute encoder, motor side, wrist roll",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3 proprioception,,
GEM-21505,A,"Absolute encoder, output side, wrist roll",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3 proprioception,,
GEM-21506,A,"Joint torque sensor, wrist roll",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3; spec 06.6,,
GEM-21507,A,"Joint drive PCBA, wrist roll",PCBA,MAKE,EA,,,TM,L1,CONCEPT,plan E-3,,PCBA BOM is generated from its schematic (plan E-3); none exists yet
GEM-21508,A,"Housing, 7075-T6, wrist roll",MFG,MAKE,EA,,,TM,L0,CONCEPT,hardware/mechanical 1,,
GEM-21509,A,"Fastener set, wrist roll",OTS,BUY,SET,,,TM,L0,CONCEPT,plan M-3,,
GEM-21600,A,"Joint module, neck yaw",ASSY,MAKE,EA,0.169,estimate: 15 Nm peak / 88.7 Nm/kg,TM,L2,CONCEPT,spec 02.6; hardware/kinematics.md 1,15 Nm peak; >=75 Nm/kg over module mass,D-2 open: procure as one module or build from the children below.
GEM-21601,A,"Motor, frameless BLDC, neck yaw",OTS,BUY,EA,,,TM,L0,CONCEPT,hardware/electrical 2,,
GEM-21602,A,"Reducer, harmonic, neck yaw",OTS,BUY,EA,,,TM,L1,CONCEPT,hardware/mechanical 2,,class per hardware/mechanical 2; conflicts with the planetary module family of hardware/electrical 2
GEM-21603,A,"Output bearing, neck yaw",OTS,BUY,EA,,,TM,L0,CONCEPT,hardware/mechanical 5,,
GEM-21604,A,"Absolute encoder, motor side, neck yaw",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3 proprioception,,
GEM-21605,A,"Absolute encoder, output side, neck yaw",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3 proprioception,,
GEM-21606,A,"Joint torque sensor, neck yaw",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3; spec 06.6,,
GEM-21607,A,"Joint drive PCBA, neck yaw",PCBA,MAKE,EA,,,TM,L1,CONCEPT,plan E-3,,PCBA BOM is generated from its schematic (plan E-3); none exists yet
GEM-21608,A,"Housing, 7075-T6, neck yaw",MFG,MAKE,EA,,,TM,L0,CONCEPT,hardware/mechanical 1,,
GEM-21609,A,"Fastener set, neck yaw",OTS,BUY,SET,,,TM,L0,CONCEPT,plan M-3,,
GEM-21700,A,"Joint module, neck pitch",ASSY,MAKE,EA,0.169,estimate: 15 Nm peak / 88.7 Nm/kg,TM,L2,CONCEPT,spec 02.6; hardware/kinematics.md 1,15 Nm peak; >=75 Nm/kg over module mass,D-2 open: procure as one module or build from the children below.
GEM-21701,A,"Motor, frameless BLDC, neck pitch",OTS,BUY,EA,,,TM,L0,CONCEPT,hardware/electrical 2,,
GEM-21702,A,"Reducer, harmonic, neck pitch",OTS,BUY,EA,,,TM,L1,CONCEPT,hardware/mechanical 2,,class per hardware/mechanical 2; conflicts with the planetary module family of hardware/electrical 2
GEM-21703,A,"Output bearing, neck pitch",OTS,BUY,EA,,,TM,L0,CONCEPT,hardware/mechanical 5,,
