assembly,op_no,work_center,operation,consumes,qty,uom,qty_basis,notes
GEM-15000,120,WC-SUB,"(consumable) Threadlocker, medium strength",GEM-50010,,ML,as consumed; figure set by the work instruction,
GEM-15900,10,WC-SUB,"Install hand structure, right",GEM-15910,1,EA,,
GEM-15900,20,WC-SUB,"Install finger actuator, right",GEM-15920,5,EA,,
GEM-15900,30,WC-SUB,Fasten and torque to drawing,GEM-15999,1,SET,,
GEM-15900,40,WC-SUB,"(consumable) Threadlocker, medium strength",GEM-50010,,ML,as consumed; figure set by the work instruction,
GEM-16000,10,WC-SUB,"Install joint module, hip roll",GEM-20200,1,EA,,
GEM-16000,20,WC-SUB,"Install joint module, hip pitch",GEM-20100,1,EA,,
GEM-16000,30,WC-SUB,"Install joint module, hip yaw",GEM-20300,1,EA,,
GEM-16000,40,WC-SUB,"Install thigh structure, left",GEM-16010,1,EA,,
GEM-16000,50,WC-SUB,"Install joint module, knee",GEM-20400,1,EA,,
GEM-16000,60,WC-SUB,"Install shank structure, left",GEM-16020,1,EA,,
GEM-16000,70,WC-SUB,"Install joint module, ankle pitch",GEM-20500,1,EA,,
GEM-16000,80,WC-SUB,"Install joint module, ankle roll",GEM-20600,1,EA,,
GEM-16000,90,WC-SUB,"Install foot structure, left",GEM-16030,1,EA,,
GEM-16000,100,WC-SUB,"Install foot contact sensing, left",GEM-16040,1,EA,,
GEM-16000,110,WC-SUB,Fasten and torque to drawing,GEM-16099,1,SET,,
GEM-16000,120,WC-SUB,"(consumable) Threadlocker, medium strength",GEM-50010,,ML,as consumed; figure set by the work instruction,
GEM-17000,10,WC-SUB,"Install joint module, hip roll",GEM-20200,1,EA,,
GEM-17000,20,WC-SUB,"Install joint module, hip pitch",GEM-20100,1,EA,,
GEM-17000,30,WC-SUB,"Install joint module, hip yaw",GEM-20300,1,EA,,
GEM-17000,40,WC-SUB,"Install thigh structure, right",GEM-17010,1,EA,,
GEM-17000,50,WC-SUB,"Install joint module, knee",GEM-20400,1,EA,,
GEM-17000,60,WC-SUB,"Install shank structure, right",GEM-17020,1,EA,,
GEM-17000,70,WC-SUB,"Install joint module, ankle pitch",GEM-20500,1,EA,,
GEM-17000,80,WC-SUB,"Install joint module, ankle roll",GEM-20600,1,EA,,
GEM-17000,90,WC-SUB,"Install foot structure, right",GEM-17030,1,EA,,
GEM-17000,100,WC-SUB,"Install foot contact sensing, right",GEM-17040,1,EA,,
GEM-17000,110,WC-SUB,Fasten and torque to drawing,GEM-17099,1,SET,,
GEM-17000,120,WC-SUB,"(consumable) Threadlocker, medium strength",GEM-50010,,ML,as consumed; figure set by the work instruction,
GEM-18000,10,WC-SUB,"Apply armour panel, integrated multi-threat",GEM-18010,1.17,M2,65% of 1.8 m2,
GEM-18000,20,WC-SUB,"Apply sense-and-heal layer, e-skin and self-healing polymer",GEM-18020,1.80,M2,skin area,
GEM-18000,30,WC-SUB,"Apply variable-stiffness layer, mr / er / jamming",GEM-18030,,M2,coverage IMPL,
GEM-18000,40,WC-SUB,"Apply fire layer, sacrificial",GEM-18040,,M2,coverage IMPL,
GEM-18000,50,WC-SUB,Apply electrochromic colour layer,GEM-18050,,M2,coverage IMPL,
GEM-18000,60,WC-SUB,"Install tactile taxel, fine region (hands, face)",GEM-18060,150000,EA,~500 cm2 at ~300/cm2,
GEM-18000,70,WC-SUB,"Install tactile taxel, ordinary region",GEM-18070,350000,EA,"~17,500 cm2 at ~20/cm2",
GEM-18000,80,WC-SUB,Install tactile readout PCBA,GEM-18080,,EA,count IMPL,
GEM-18000,90,WC-SUB,Install shell field driver PCBA (MR coils / ER HV / electrochromic),GEM-18090,,EA,count IMPL,
GEM-18000,100,WC-SUB,Fasten and torque to drawing,GEM-18099,1,SET,,
GEM-18000,110,WC-SUB,"(consumable) Adhesive, shell layer bonding",GEM-50040,,ML,as consumed; figure set by the work instruction,
GEM-18000,120,WC-SUB,"(consumable) Threadlocker, medium strength",GEM-50010,,ML,as consumed; figure set by the work instruction,
GEM-18080,10,WC-EMS,Assemble board to its PCBA BOM (from schematic),,,,,
GEM-18080,20,WC-PROG,"Program firmware image, tactile readout",GEM-40060,1,EA,,
GEM-18080,30,WC-CAL,Board-level functional test,,,,,
GEM-18090,10,WC-EMS,Assemble board to its PCBA BOM (from schematic),,,,,
GEM-18090,20,WC-PROG,"Program firmware image, shell field driver",GEM-40070,1,EA,,
GEM-18090,30,WC-CAL,Board-level functional test,,,,,
GEM-19000,10,WC-HARN,Install etherCAT joint chain cable set,GEM-19010,1,SET,,
GEM-19000,20,WC-HARN,Install cAN FD sensing bus cable set,GEM-19020,1,SET,,
GEM-19000,30,WC-HARN,Install hV power distribution cable set,GEM-19030,1,SET,,
GEM-19000,40,WC-HARN,"Install sensor link cable set (camera, LiDAR, audio)",GEM-19040,1,SET,,
GEM-19000,50,WC-HARN,Fasten and torque to drawing,GEM-19099,1,SET,,
GEM-19000,60,WC-HARN,(consumable) Cable ties and heat-shrink,GEM-50050,,SET,as consumed; figure set by the work instruction,
GEM-20100,10,WC-JNT,Prepare housing,GEM-20108,1,EA,,
GEM-20100,20,WC-JNT,Press in output bearing,GEM-20103,1,EA,,
GEM-20100,30,WC-JNT,Install motor stator and rotor,GEM-20101,1,EA,,
GEM-20100,40,WC-JNT,Install reducer; grease per work instruction,GEM-20102,1,EA,,
GEM-20100,50,WC-JNT,(consumable) Reducer grease,GEM-50020,,G,as consumed; figure set by the work instruction,
GEM-20100,60,WC-JNT,Install motor-side encoder,GEM-20104,1,EA,,
GEM-20100,70,WC-JNT,Install output-side encoder,GEM-20105,1,EA,,
GEM-20100,80,WC-JNT,Install joint torque sensor,GEM-20106,1,EA,,
GEM-20100,90,WC-JNT,Mount drive PCBA; thermal interface to housing,GEM-20107,1,EA,,
GEM-20100,100,WC-JNT,(consumable) Thermal interface material,GEM-50030,,G,as consumed; figure set by the work instruction,
GEM-20100,110,WC-JNT,Fasten and torque to drawing,GEM-20109,1,SET,,
GEM-20100,120,WC-JNT,"(consumable) Threadlocker, medium strength",GEM-50010,,ML,as consumed; figure set by the work instruction,
GEM-20100,130,WC-CAL,"Commutation offset and encoder calibration, hip pitch",,,,,
GEM-20100,140,WC-CAL,Joint torque sensor calibration,,,,,
GEM-20100,150,WC-CAL,"End-of-line test: peak torque, backdrive, thermal",,,,,
GEM-20107,10,WC-EMS,Assemble board to its PCBA BOM (from schematic),,,,,
GEM-20107,20,WC-PROG,"Program firmware image, joint drive",GEM-40010,1,EA,,
GEM-20107,30,WC-CAL,Board-level functional test,,,,,
GEM-20200,10,WC-JNT,Prepare housing,GEM-20208,1,EA,,
GEM-20200,20,WC-JNT,Press in output bearing,GEM-20203,1,EA,,
GEM-20200,30,WC-JNT,Install motor stator and rotor,GEM-20201,1,EA,,
GEM-20200,40,WC-JNT,Install reducer; grease per work instruction,GEM-20202,1,EA,,
GEM-20200,50,WC-JNT,(consumable) Reducer grease,GEM-50020,,G,as consumed; figure set by the work instruction,
GEM-20200,60,WC-JNT,Install motor-side encoder,GEM-20204,1,EA,,
GEM-20200,70,WC-JNT,Install output-side encoder,GEM-20205,1,EA,,
GEM-20200,80,WC-JNT,Install joint torque sensor,GEM-20206,1,EA,,
GEM-20200,90,WC-JNT,Mount drive PCBA; thermal interface to housing,GEM-20207,1,EA,,
GEM-20200,100,WC-JNT,(consumable) Thermal interface material,GEM-50030,,G,as consumed; figure set by the work instruction,
GEM-20200,110,WC-JNT,Fasten and torque to drawing,GEM-20209,1,SET,,
GEM-20200,120,WC-JNT,"(consumable) Threadlocker, medium strength",GEM-50010,,ML,as consumed; figure set by the work instruction,
GEM-20200,130,WC-CAL,"Commutation offset and encoder calibration, hip roll",,,,,
GEM-20200,140,WC-CAL,Joint torque sensor calibration,,,,,
GEM-20200,150,WC-CAL,"End-of-line test: peak torque, backdrive, thermal",,,,,
GEM-20207,10,WC-EMS,Assemble board to its PCBA BOM (from schematic),,,,,
GEM-20207,20,WC-PROG,"Program firmware image, joint drive",GEM-40010,1,EA,,
GEM-20207,30,WC-CAL,Board-level functional test,,,,,
GEM-20300,10,WC-JNT,Prepare housing,GEM-20308,1,EA,,
GEM-20300,20,WC-JNT,Press in output bearing,GEM-20303,1,EA,,
GEM-20300,30,WC-JNT,Install motor stator and rotor,GEM-20301,1,EA,,
GEM-20300,40,WC-JNT,Install reducer; grease per work instruction,GEM-20302,1,EA,,
GEM-20300,50,WC-JNT,(consumable) Reducer grease,GEM-50020,,G,as consumed; figure set by the work instruction,
GEM-20300,60,WC-JNT,Install motor-side encoder,GEM-20304,1,EA,,
GEM-20300,70,WC-JNT,Install output-side encoder,GEM-20305,1,EA,,
GEM-20300,80,WC-JNT,Install joint torque sensor,GEM-20306,1,EA,,
GEM-20300,90,WC-JNT,Mount drive PCBA; thermal interface to housing,GEM-20307,1,EA,,
GEM-20300,100,WC-JNT,(consumable) Thermal interface material,GEM-50030,,G,as consumed; figure set by the work instruction,
GEM-20300,110,WC-JNT,Fasten and torque to drawing,GEM-20309,1,SET,,
GEM-20300,120,WC-JNT,"(consumable) Threadlocker, medium strength",GEM-50010,,ML,as consumed; figure set by the work instruction,
GEM-20300,130,WC-CAL,"Commutation offset and encoder calibration, hip yaw",,,,,
GEM-20300,140,WC-CAL,Joint torque sensor calibration,,,,,
GEM-20300,150,WC-CAL,"End-of-line test: peak torque, backdrive, thermal",,,,,
GEM-20307,10,WC-EMS,Assemble board to its PCBA BOM (from schematic),,,,,
GEM-20307,20,WC-PROG,"Program firmware image, joint drive",GEM-40010,1,EA,,
GEM-20307,30,WC-CAL,Board-level functional test,,,,,
GEM-20400,10,WC-JNT,Prepare housing,GEM-20408,1,EA,,
GEM-20400,20,WC-JNT,Press in output bearing,GEM-20403,1,EA,,
GEM-20400,30,WC-JNT,Install motor stator and rotor,GEM-20401,1,EA,,
GEM-20400,40,WC-JNT,Install reducer; grease per work instruction,GEM-20402,1,EA,,
GEM-20400,50,WC-JNT,(consumable) Reducer grease,GEM-50020,,G,as consumed; figure set by the work instruction,
GEM-20400,60,WC-JNT,Install motor-side encoder,GEM-20404,1,EA,,
GEM-20400,70,WC-JNT,Install output-side encoder,GEM-20405,1,EA,,
GEM-20400,80,WC-JNT,Install joint torque sensor,GEM-20406,1,EA,,
GEM-20400,90,WC-JNT,Mount drive PCBA; thermal interface to housing,GEM-20407,1,EA,,
GEM-20400,100,WC-JNT,(consumable) Thermal interface material,GEM-50030,,G,as consumed; figure set by the work instruction,
GEM-20400,110,WC-JNT,Fasten and torque to drawing,GEM-20409,1,SET,,
GEM-20400,120,WC-JNT,"(consumable) Threadlocker, medium strength",GEM-50010,,ML,as consumed; figure set by the work instruction,
GEM-20400,130,WC-CAL,"Commutation offset and encoder calibration, knee",,,,,
GEM-20400,140,WC-CAL,Joint torque sensor calibration,,,,,
GEM-20400,150,WC-CAL,"End-of-line test: peak torque, backdrive, thermal",,,,,
GEM-20407,10,WC-EMS,Assemble board to its PCBA BOM (from schematic),,,,,
GEM-20407,20,WC-PROG,"Program firmware image, joint drive",GEM-40010,1,EA,,
GEM-20407,30,WC-CAL,Board-level functional test,,,,,
GEM-20500,10,WC-JNT,Prepare housing,GEM-20508,1,EA,,
GEM-20500,20,WC-JNT,Press in output bearing,GEM-20503,1,EA,,
GEM-20500,30,WC-JNT,Install motor stator and rotor,GEM-20501,1,EA,,
GEM-20500,40,WC-JNT,Install reducer; grease per work instruction,GEM-20502,1,EA,,
GEM-20500,50,WC-JNT,(consumable) Reducer grease,GEM-50020,,G,as consumed; figure set by the work instruction,
GEM-20500,60,WC-JNT,Install motor-side encoder,GEM-20504,1,EA,,
GEM-20500,70,WC-JNT,Install output-side encoder,GEM-20505,1,EA,,
GEM-20500,80,WC-JNT,Install joint torque sensor,GEM-20506,1,EA,,
GEM-20500,90,WC-JNT,Mount drive PCBA; thermal interface to housing,GEM-20507,1,EA,,
GEM-20500,100,WC-JNT,(consumable) Thermal interface material,GEM-50030,,G,as consumed; figure set by the work instruction,
GEM-20500,110,WC-JNT,Fasten and torque to drawing,GEM-20509,1,SET,,
GEM-20500,120,WC-JNT,"(consumable) Threadlocker, medium strength",GEM-50010,,ML,as consumed; figure set by the work instruction,
GEM-20500,130,WC-CAL,"Commutation offset and encoder calibration, ankle pitch",,,,,
GEM-20500,140,WC-CAL,Joint torque sensor calibration,,,,,
GEM-20500,150,WC-CAL,"End-of-line test: peak torque, backdrive, thermal",,,,,
GEM-20507,10,WC-EMS,Assemble board to its PCBA BOM (from schematic),,,,,
GEM-20507,20,WC-PROG,"Program firmware image, joint drive",GEM-40010,1,EA,,
GEM-20507,30,WC-CAL,Board-level functional test,,,,,
GEM-20600,10,WC-JNT,Prepare housing,GEM-20608,1,EA,,
GEM-20600,20,WC-JNT,Press in output bearing,GEM-20603,1,EA,,
GEM-20600,30,WC-JNT,Install motor stator and rotor,GEM-20601,1,EA,,
GEM-20600,40,WC-JNT,Install reducer; grease per work instruction,GEM-20602,1,EA,,
GEM-20600,50,WC-JNT,(consumable) Reducer grease,GEM-50020,,G,as consumed; figure set by the work instruction,
GEM-20600,60,WC-JNT,Install motor-side encoder,GEM-20604,1,EA,,
GEM-20600,70,WC-JNT,Install output-side encoder,GEM-20605,1,EA,,
GEM-20600,80,WC-JNT,Install joint torque sensor,GEM-20606,1,EA,,
GEM-20600,90,WC-JNT,Mount drive PCBA; thermal interface to housing,GEM-20607,1,EA,,
GEM-20600,100,WC-JNT,(consumable) Thermal interface material,GEM-50030,,G,as consumed; figure set by the work instruction,
GEM-20600,110,WC-JNT,Fasten and torque to drawing,GEM-20609,1,SET,,
GEM-20600,120,WC-JNT,"(consumable) Threadlocker, medium strength",GEM-50010,,ML,as consumed; figure set by the work instruction,
GEM-20600,130,WC-CAL,"Commutation offset and encoder calibration, ankle roll",,,,,
GEM-20600,140,WC-CAL,Joint torque sensor calibration,,,,,
GEM-20600,150,WC-CAL,"End-of-line test: peak torque, backdrive, thermal",,,,,
GEM-20607,10,WC-EMS,Assemble board to its PCBA BOM (from schematic),,,,,
GEM-20607,20,WC-PROG,"Program firmware image, joint drive",GEM-40010,1,EA,,
GEM-20607,30,WC-CAL,Board-level functional test,,,,,
GEM-20700,10,WC-JNT,Prepare housing,GEM-20708,1,EA,,
GEM-20700,20,WC-JNT,Press in output bearing,GEM-20703,1,EA,,
GEM-20700,30,WC-JNT,Install motor stator and rotor,GEM-20701,1,EA,,
GEM-20700,40,WC-JNT,Install reducer; grease per work instruction,GEM-20702,1,EA,,
GEM-20700,50,WC-JNT,(consumable) Reducer grease,GEM-50020,,G,as consumed; figure set by the work instruction,
GEM-20700,60,WC-JNT,Install motor-side encoder,GEM-20704,1,EA,,
GEM-20700,70,WC-JNT,Install output-side encoder,GEM-20705,1,EA,,
GEM-20700,80,WC-JNT,Install joint torque sensor,GEM-20706,1,EA,,
GEM-20700,90,WC-JNT,Mount drive PCBA; thermal interface to housing,GEM-20707,1,EA,,
GEM-20700,100,WC-JNT,(consumable) Thermal interface material,GEM-50030,,G,as consumed; figure set by the work instruction,
GEM-20700,110,WC-JNT,Fasten and torque to drawing,GEM-20709,1,SET,,
GEM-20700,120,WC-JNT,"(consumable) Threadlocker, medium strength",GEM-50010,,ML,as consumed; figure set by the work instruction,
GEM-20700,130,WC-CAL,"Commutation offset and encoder calibration, waist pitch",,,,,
GEM-20700,140,WC-CAL,Joint torque sensor calibration,,,,,
GEM-20700,150,WC-CAL,"End-of-line test: peak torque, backdrive, thermal",,,,,
GEM-20707,10,WC-EMS,Assemble board to its PCBA BOM (from schematic),,,,,
GEM-20707,20,WC-PROG,"Program firmware image, joint drive",GEM-40010,1,EA,,
GEM-20707,30,WC-CAL,Board-level functional test,,,,,
GEM-20800,10,WC-JNT,Prepare housing,GEM-20808,1,EA,,
GEM-20800,20,WC-JNT,Press in output bearing,GEM-20803,1,EA,,
GEM-20800,30,WC-JNT,Install motor stator and rotor,GEM-20801,1,EA,,
GEM-20800,40,WC-JNT,Install reducer; grease per work instruction,GEM-20802,1,EA,,
GEM-20800,50,WC-JNT,(consumable) Reducer grease,GEM-50020,,G,as consumed; figure set by the work instruction,
GEM-20800,60,WC-JNT,Install motor-side encoder,GEM-20804,1,EA,,
GEM-20800,70,WC-JNT,Install output-side encoder,GEM-20805,1,EA,,
GEM-20800,80,WC-JNT,Install joint torque sensor,GEM-20806,1,EA,,
GEM-20800,90,WC-JNT,Mount drive PCBA; thermal interface to housing,GEM-20807,1,EA,,
GEM-20800,100,WC-JNT,(consumable) Thermal interface material,GEM-50030,,G,as consumed; figure set by the work instruction,
GEM-20800,110,WC-JNT,Fasten and torque to drawing,GEM-20809,1,SET,,
GEM-20800,120,WC-JNT,"(consumable) Threadlocker, medium strength",GEM-50010,,ML,as consumed; figure set by the work instruction,
GEM-20800,130,WC-CAL,"Commutation offset and encoder calibration, waist yaw",,,,,
GEM-20800,140,WC-CAL,Joint torque sensor calibration,,,,,
GEM-20800,150,WC-CAL,"End-of-line test: peak torque, backdrive, thermal",,,,,
GEM-20807,10,WC-EMS,Assemble board to its PCBA BOM (from schematic),,,,,
GEM-20807,20,WC-PROG,"Program firmware image, joint drive",GEM-40010,1,EA,,
GEM-20807,30,WC-CAL,Board-level functional test,,,,,
GEM-20900,10,WC-JNT,Prepare housing,GEM-20908,1,EA,,
GEM-20900,20,WC-JNT,Press in output bearing,GEM-20903,1,EA,,
GEM-20900,30,WC-JNT,Install motor stator and rotor,GEM-20901,1,EA,,
GEM-20900,40,WC-JNT,Install reducer; grease per work instruction,GEM-20902,1,EA,,
GEM-20900,50,WC-JNT,(consumable) Reducer grease,GEM-50020,,G,as consumed; figure set by the work instruction,
GEM-20900,60,WC-JNT,Install motor-side encoder,GEM-20904,1,EA,,
GEM-20900,70,WC-JNT,Install output-side encoder,GEM-20905,1,EA,,
GEM-20900,80,WC-JNT,Install joint torque sensor,GEM-20906,1,EA,,
GEM-20900,90,WC-JNT,Mount drive PCBA; thermal interface to housing,GEM-20907,1,EA,,
GEM-20900,100,WC-JNT,(consumable) Thermal interface material,GEM-50030,,G,as consumed; figure set by the work instruction,
GEM-20900,110,WC-JNT,Fasten and torque to drawing,GEM-20909,1,SET,,
