id,subsystem,item,spec_ref,requirement,qty,qty_basis,maturity,level,selection,manufacturer,part_number,source_url,unit_price,currency,price_date,price_url,notes
ACT-14,actuation,"Joint actuator, wrist_pitch",spec 02.6; hardware/kinematics.md 1,"20 Nm peak; QDD module, >=75 Nm/kg peak over module mass",2,actuator_sizing.py at 130 kg,TM,L2,"QDD, hollow-shaft planetary family (hardware/electrical 2)",,,,,,,,"Reducer class per hardware/mechanical 2: harmonic. CubeMars AKH70-16 (85 Nm peak, 879 g, 88.7 Nm/kg) covers the torque; not chosen, pending D-2."
ACT-15,actuation,"Joint actuator, wrist_roll",spec 02.6; hardware/kinematics.md 1,"20 Nm peak; QDD module, >=75 Nm/kg peak over module mass",2,actuator_sizing.py at 130 kg,TM,L2,"QDD, hollow-shaft planetary family (hardware/electrical 2)",,,,,,,,"Reducer class per hardware/mechanical 2: harmonic. CubeMars AKH70-16 (85 Nm peak, 879 g, 88.7 Nm/kg) covers the torque; not chosen, pending D-2."
ACT-16,actuation,"Joint actuator, neck_yaw",spec 02.6; hardware/kinematics.md 1,"15 Nm peak; QDD module, >=75 Nm/kg peak over module mass",1,actuator_sizing.py at 130 kg,TM,L2,"QDD, hollow-shaft planetary family (hardware/electrical 2)",,,,,,,,"Reducer class per hardware/mechanical 2: harmonic. CubeMars AKH70-16 (85 Nm peak, 879 g, 88.7 Nm/kg) covers the torque; not chosen, pending D-2."
ACT-17,actuation,"Joint actuator, neck_pitch",spec 02.6; hardware/kinematics.md 1,"15 Nm peak; QDD module, >=75 Nm/kg peak over module mass",1,actuator_sizing.py at 130 kg,TM,L2,"QDD, hollow-shaft planetary family (hardware/electrical 2)",,,,,,,,"Reducer class per hardware/mechanical 2: harmonic. CubeMars AKH70-16 (85 Nm peak, 879 g, 88.7 Nm/kg) covers the torque; not chosen, pending D-2."
ACT-18,actuation,Hand actuator,hardware/kinematics.md 1.2,torque not derived,10,"minimum hands, 2 x 5 (anchor 40 DOF); D-6",TM,L1,,,,,,,,,Hand configuration is CTRL; torque per finger joint not yet derived.
ACT-19,actuation,"Cycloidal reducer, hip and knee",hardware/mechanical 2,"~85% efficiency, shock tolerant",8,hip 6 + knee 2; only if D-2 = design,TM,L2,Cycloidal / RV,,,,,,,,Inside the module if D-2 procures modules.
ACT-20,actuation,"Planetary reducer, shoulder and elbow",hardware/mechanical 2,"6:1 to 15:1, backdrivable",8,shoulder 6 + elbow 2; only if D-2 = design,TM,L2,QDD planetary,,,,,,,,Inside the module if D-2 procures modules.
ACT-21,actuation,"Harmonic reducer, wrist and neck",hardware/mechanical 2,"high ratio, low mass",8,wrist 6 + neck 2; only if D-2 = design,TM,L2,Harmonic / strain-wave,,,,,,,,Inside the module if D-2 procures modules.
ACT-22,actuation,Joint lock,spec 03.2 measure 4,latch joint when holding a pose,,IMPL - which joints,TM,L0,,,,,,,,,
ACT-23,actuation,Series-elastic element,spec 03.2 measure 5,store and return gait energy,,IMPL - which joints,TM,L0,,,,,,,,,
ACT-24,actuation,"Joint encoder, absolute",spec 05.3 proprioception,position at 1 kHz,40,40 logged joints,TM,L1,,,,,,,,,Integrated (dual 21-bit) in the AKH70-16 candidate.
ACT-25,actuation,Joint torque sensing,spec 05.3 proprioception; spec 06.6,torque at 1 kHz,40,40 logged joints,TM,L1,,,,,,,,,
STR-01,structure,Carbon fibre composite long members,hardware/mechanical 1,specific stiffness 30+ GPa/SG,,section sizing IMPL,TM,L2,CFRP tube,,,,,,,,Structure mass 38.8 kg at the declared point (f_str 0.30).
STR-02,structure,7075-T6 fittings at joints and load introduction,hardware/mechanical 1,"2.81 g/cm3, 572 MPa",,IMPL,TM,L2,7075-T6 aluminium,,,,,,,,
STR-03,structure,Bearings,hardware/mechanical 5,joint loads,,IMPL,TM,L0,,,,,,,,,
STR-04,structure,Fasteners and inserts,plan M-5,,,IMPL,TM,L0,,,,,,,,,
PRT-01,protection,Integrated multi-threat armour panel,spec 02.4; hardware/mechanical 3,"NIJ IIIA + NIJ 0115 level 1, 6-9 kg/m2",1.17 m2,65% of 1.8 m2 at the declared point; 8.8 kg at 7.5 kg/m2,TM,L2,"UHMWPE/aramid ballistic + stab, integrated",,,,,,,,"Unit is area, not pieces; panel layout is plan M-7."
SHL-01,shell,Sense-and-heal layer (e-skin + self-healing polymer),spec 04.5,600% stretch,1.8 m2,skin area,LAB,L2,,,,,,,,,Areal density IMPL (hardware/mechanical 4).
SHL-02,shell,Variable-stiffness layer (MR / ER / jamming),spec 04.1; spec 04.5,"2-30x modulus, ms response",,coverage IMPL,LAB,L2,,,,,,,,,MR needs ~1000 mT field.
SHL-03,shell,"Fire layer, sacrificial",spec 04.4; spec 04.5,temperature and duration IMPL,,coverage IMPL,TM,L1,,,,,,,,,Must anchor to a firefighting-garment standard.
SHL-04,shell,Electrochromic colour layer,spec 04.3,~1-5 s colour change,,coverage IMPL,LAB,L2,,,,,,,,,
PWR-01,power,"Battery cell, durable tier",spec 03.1; hardware/electrical 3,400-500 Wh/kg,,"10.36 kWh / 23.0 kg of cells at 450 Wh/kg, declared point; per-cell capacity by part",TM,L2,Silicon-anode pouch,Amprius,,https://amprius.com/solutions/sicore/,,,,,Candidate SiCore 450 Wh/kg. Alternative SOLiTHOR solid-state 465 Wh/kg stack level. D-5 open. Price not public in any source found.
PWR-02,power,Supercapacitor tier,spec 03.2 measure 3,burst power,,IMPL,TM,L1,,,,,,,,,
PWR-03,power,Battery management system,plan E-2,"cell monitoring, balancing, protection",1,,TM,L1,,,,,,,,,
PWR-04,power,"Pre-charge, contactor, fusing",plan E-2,HV bus switching,1,set,TM,L1,,,,,,,,,Bus voltage D-4 open.
PWR-05,power,HV to logic DC-DC conversion,plan E-4,,,IMPL,TM,L1,,,,,,,,,
PWR-06,power,Vigilance circuit on always-on rail,spec 03.6,tens of microwatts,1,,TM,L1,,,,,,,,,
PWR-07,power,"Dock, seat form, with charging contacts",spec 03.5,supported from below,1,,TM,L1,,,,,,,,,
CMP-01,compute,Edge AI module,hardware/electrical 4,"40-130 W, 128 GB",1,,TM,L2,Jetson AGX Thor module (T5000),NVIDIA,900-13834-0080-000,https://www.arrow.com/en/products/900-13834-0080-000/nvidia.html,,,,,"Module price not public in any source found. For reference only: the developer kit (945-14070-0080-000, includes a T5000) is USD 3,499 per CNX Software, Hackster.io, heise and Micro Center listings, read 2026-09-26; the kit is not the BOM part."
CMP-02,compute,Carrier board for the edge module,plan E-5,,1,,TM,L1,,,,,,,,,"Custom design, plan E-5."
CMP-03,compute,"Real-time controller (balance 500 Hz, reflex 10 ms)",spec 07.2; firmware/README,hard real-time,1,,TM,L0,,,,,,,,,D-3 open. Not the Jetson.
CMP-04,compute,Emission log storage,spec 07.6,~1700 h full tier,1,2 TB device,TM,L1,,,,,,,,,
BUS-01,bus,EtherCAT master interface,hardware/electrical 5,2-4 kHz demonstrated,1,,TM,L2,EtherCAT,,,,,,,,
BUS-02,bus,"EtherCAT slave controller, per joint node",hardware/electrical 5,distributed clocks,40,"one per logged joint, if D-2 = design",TM,L2,EtherCAT ESC,,,,,,,,Inside the module if D-2 procures modules.
BUS-03,bus,"CAN FD transceiver, distributed sensing nodes",hardware/electrical 5,64-byte frames,,node count IMPL,TM,L2,CAN FD,,,,,,,,
BUS-04,bus,Wiring harness,plan E-12,,1,set,TM,L0,,,,,,,,,
SNS-01,sensing,Stereo camera,spec 05.3,"4K, 30 fps, 12 bit; optical zoom, multispectral",2,stereo pair,TM,L1,,,,,,,,,
SNS-02,sensing,Thermal IR camera,spec 05.3,"640x480, 30 fps, 16 bit",1,,TM,L1,,,,,,,,,
SNS-03,sensing,LiDAR / depth,spec 05.3,300k points/s,1,,TM,L1,,,,,,,,,
SNS-04,sensing,Microphone array,spec 05.3,"16 ch, 48 kHz, 24 bit",16,channels,TM,L1,,,,,,,,,
SNS-05,sensing,IMU,spec 05.3; plan E-6,1 kHz,,at least 1; count IMPL,TM,L1,,,,,,,,,
SNS-06,sensing,"Tactile skin, fine region (hands, face)",spec 05.2,~300 taxels/cm2 over ~500 cm2,150000,taxels,LAB,L1,,,,,,,,,Near the fabrication ceiling.
SNS-07,sensing,"Tactile skin, ordinary region",spec 05.2,"~20 taxels/cm2 over ~17,500 cm2",350000,taxels,LAB,L1,,,,,,,,,
SNS-08,sensing,Tactile readout electronics,plan E-7,"~500,000 taxels, event compression",,IMPL,LAB,L0,,,,,,,,,
SNS-09,sensing,SDR / multi-band RF,spec 05.3,"2 ch x 56 MHz I/Q, 16 bit",1,,TM,L1,,,,,,,,,
SNS-10,sensing,Spatial RF sensing (Wi-Fi / mmWave CSI),spec 05.3,full hardware capability,1,,TM,L1,,,,,,,,,
SNS-11,sensing,Electronic nose,spec 05.3,"5-30 ppb per compound, 5-10 s",1,,TM,L1,,,,,,,,,
SNS-12,sensing,"Taste, lab-on-chip",spec 05.3,batch-wise,1,,LAB,L1,,,,,,,,,
SNS-13,sensing,Contact-amplitude instrumentation,spec 06.6; plan E-11,measured amplitude per contact,,IMPL,TM,L0,,,,,,,,,
EXP-01,expression,Micro facial actuators and pupil actuation,spec 05.3; kinematics 1.4,,,IMPL,LAB,L0,,,,,,,,,TM/LAB in spec 05.3.
EXP-02,expression,Voice speaker and ultrasonic emitter,spec 05.3,,1,set,TM,L1,,,,,,,,,
EXP-03,expression,"Cardiac co-regulation module (vibration, warmth, rhythm)",spec 05.3,"optional, not always-on",1,optional,TM,L1,,,,,,,,,
LNK-01,link,"mmWave uplink radio, 60 GHz",spec 01 Link,"up to ~8 Gbps, ~1 ms PHY",1,,TM,L1,,,,,,,,,TM/LAB in spec 01.
LNK-02,link,Fallback link (LEO / 5G-6G),spec 01 Link,,1,,TM,L1,,,,,,,,,
LNK-03,link,Low-power trace radio,spec 06.5,floor power,1,,TM,L0,,,,,,,,,D-7 open.
SEC-01,trust,Secure element,spec 06.2; spec 06.3,"measured boot, per-node signing",,"per node or per bus segment, IMPL",TM,L0,,,,,,,,,D-7 open.
